33.349,-115.724,0.025,0.73,3.163
33.416,-115.799,4.074,0.629,2.643
33.475,-115.877,0.018,1.242,2.698
33.542,-115.951,4.299,0.802,3.075
33.349,-115.724,0.025,0.73,3.163
33.416,-115.799,4.074,0.629,2.643
33.475,-115.877,0.018,1.242,2.698
33.542,-115.951,4.299,0.802,3.075
33.608,-116.026,4.076,0.241,2.695
33.669,-116.102,4.762,0.642,2.902
33.734,-116.178,4.005,1.11,2.822
33.796,-116.255,0.139,0.138,2.666
33.856,-116.336,0.876,0.298,2.526
33.907,-116.422,0.939,0.396,2.36
33.962,-116.508,-0.618,0.41,2.475
34.013,-116.6,-0.598,0.393,1.938
34.042,-116.701,0.624,0.691,1.825
34.063,-116.806,1.089,1.413,1.772
34.078,-116.912,2.02,1.637,1.783
34.101,-117.017,-0.404,1.915,1.821
34.124,-117.121,0.081,0.537,1.845
34.151,-117.223,0.013,0.326,1.933
34.194,-117.319,0.346,0.505,2.175
34.245,-117.411,0.116,0.59,2.23
34.292,-117.503,-1.904,1.885,2.23
34.339,-117.597,-5.121,5.177,2.125
34.378,-117.694,-1.187,1.673,2.038
34.418,-117.791,-2.074,0.611,2.039
34.457,-117.888,-0.901,0.103,2.058
34.498,-117.985,0.056,0.241,2.059
34.539,-118.082,-1.64,0.509,2.059
34.578,-118.181,-0.798,0.304,2.001
34.616,-118.28,-1.602,0.884,1.983
34.652,-118.379,-1.176,1.137,1.984
34.688,-118.48,-5.093,0.956,1.92
34.719,-118.582,-2.272,1.089,1.888
34.749,-118.685,-0.701,0.982,1.888
34.777,-118.789,-1.425,0.675,1.862
34.808,-118.893,-1.755,0.681,1.919
34.824,-118.998,-1.012,0.345,1.73
34.846,-119.105,1.344,0.444,1.775
34.86,-119.211,0.298,0.413,1.868
34.895,-119.312,2.101,0.872,1.999
34.941,-119.405,-0.85,0.765,2.456
34.998,-119.492,-1.631,0.274,2.49
35.057,-119.575,-1.647,0.844,2.77
35.12,-119.655,-0.175,0.565,2.732
35.183,-119.732,0.602,1.22,3.02
35.25,-119.805,0.016,2.546,3.188
35.319,-119.877,0.609,0.857,3.199
35.387,-119.946,0.8,0.885,3.298
35.461,-120.013,-0.593,2.139,3.627
35.531,-120.081,0.338,0.987,3.361
35.6,-120.152,-4.464,0.845,3.052
35.667,-120.224,1.856,0.522,3.355
35.738,-120.294,2.143,0.963,3.357
35.823,-120.355,-5.286,3.173,3.086
35.88,-120.418,14.159,1.672,3.087
35.948,-120.493,26.732,1.783,3.056
36.011,-120.569,30.67,3.531,2.974
36.077,-120.645,26.096,2.101,2.853
36.146,-120.719,28.821,3.81,3.201
36.206,-120.79,19.429,3.77,2.902
36.28,-120.862,24.352,1.965,2.997
36.346,-120.935,18.891,1.152,3.119
36.419,-121.006,20.71,3.553,3.423
36.489,-121.077,22.461,2.733,3.167
36.556,-121.149,23.446,2.106,3.167
36.623,-121.223,11.006,1.55,2.955
36.689,-121.301,7.194,3.438,2.695
36.748,-121.384,15.479,1.59,2.402
36.802,-121.471,10.286,1.826,2.465
36.862,-121.557,4.543,2.084,2.722
36.919,-121.642,2.192,0.524,2.521
36.981,-121.724,0.343,1.174,2.871
37.098,-121.891,-1.91,1.456,2.315
37.16,-121.975,-4.693,2.182,2.799
37.357,-122.206,-2.632,3.124,3.481
37.5,-122.342,-3.671,5.213,3.898
37.877,-122.651,3.793,3.884,3.893
37.951,-122.715,-1.183,2.809,3.896
38.098,-122.846,9.042,5.003,3.696
38.319,-123.041,0.751,2.882,4.285
38.532,-123.25,1.216,2.051,3.292
38.603,-123.322,-4.39,1.316,3.425
38.673,-123.392,-8.293,3.702,3.428
38.743,-123.462,-8.131,2.212,3.431
38.817,-123.53,0.242,1.453,3.866
38.892,-123.596,-1.14,2.282,3.87
38.965,-123.661,-3.385,3.239,3.874
